session_key,subject,condition,trial,window_index,time_minutes,theta_power,alpha_power,beta_power,gamma_power,theta_alpha,beta_alpha,alpha_beta,beta_theta,dominant_frequency,dominant_band
c_concentrating_1,c,concentrating,1,1,0.041666666666666664,62.45207292143622,35.745755131296534,71.85588042609636,24.233523947060537,1.7471185793123016,2.010193382743348,0.4974645765848068,1.1505763870558787,1.5,other
c_concentrating_1,c,concentrating,1,2,0.08333333333333333,88.68716364257709,33.773108467855714,50.83940160660941,28.744931474834875,2.6259698223214194,1.505321953263405,0.6643097164909396,0.5732441936185941,1.5,other
c_concentrating_1,c,concentrating,1,3,0.125,47.54592496951664,21.621228393526003,45.11537609026173,25.53407650067349,2.1990390233217836,2.0866240931884574,0.4792430046525314,0.9488799748703338,2.0,other
c_concentrating_1,c,concentrating,1,4,0.16666666666666666,100.48232351448017,48.171837445648904,59.37181250357661,23.00137232816331,2.0859142777738526,1.232500474381206,0.8113587140824947,0.5908682286294936,1.0,other
c_concentrating_1,c,concentrating,1,5,0.20833333333333334,94.10305960343538,45.87879692187215,61.080403524671695,23.86438467797089,2.0511230877236213,1.3313427470359922,0.7511213789434236,0.649079889453901,1.5,other
c_concentrating_1,c,concentrating,1,6,0.25,34.07362278714619,18.761743593352037,43.007069020617536,20.709863835760665,1.8161223991580242,2.2922746389017115,0.436247901114993,1.2621806988143733,2.5,other
c_concentrating_1,c,concentrating,1,7,0.2916666666666667,14.060097617188692,9.659687877796026,43.626538091780645,21.071408145638372,1.4555436775040678,4.516350698252019,0.22141770354260443,3.1028616784599357,2.0,other
c_concentrating_1,c,concentrating,1,8,0.3333333333333333,20.18579571511089,10.822164589944364,45.68380623855171,21.311775386911147,1.8652271962179299,4.221318744403477,0.2368927959599772,2.2631659847995618,1.5,other
c_concentrating_1,c,concentrating,1,9,0.375,20.416527309659283,12.574457178337674,47.390115696594535,22.816822193430784,1.6236507882687243,3.7687603547797397,0.26533923780315394,2.3211643673688696,0.5,other
c_concentrating_1,c,concentrating,1,10,0.4166666666666667,155.50580844724587,61.749628341620216,159.90940442946743,82.21613620087636,2.5183278446136415,2.5896415690924246,0.38615382604877774,1.0283178874550878,1.0,other
